id,nameeng,nameamh,position,placeofassignment,detail,,
118,Meskelie Lera, አቶ መስቀሌ ሌራ,ም/ዋና ዳይሬክተር,የአኤች አይ ቪ/ኤድስ መከላከያና መቆረጣጠሪያ ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
119,Dr. Misraq Mekonnen,ዶ/ር ምስራቅ መኮንን,ሚ/ዴኤታ,ሲቪል ሰርቪስ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
120,Mitiku Kassa Gutilie,አቶ ምትኩ ካሣ ጉትሌ,ሚ/ዴኤታ,ግብርና ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
121,Moges T/Michael Temanu,አቶ ሞገስ ተ/ሚካኤል ተማኑ,ም/ዳይሬክተር,የኢት.ሠላምና ዓለም አቀፍ ኢንስቲትዩት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
122,Mohammed Ahmed Geas,አቶ ሞሀሙድ አህመድ ጋዓስ,ሚ/ዴኤታ,ሳይንስና ቴክኖሎጂ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
123,Mulugeta Wuletaw Wodaje,አቶ ሙሉጌታ ውለታው ወዳጄ,ሚ/ዴኤታ,ፌዴራል ጉዳዮች ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
124,Nebiyu Samuel Daqa,አቶ ነብዩ ሣሙኤል ዳቃ,ም/ዋ/ዳይሬክተር,ኢት.ገቢዎችና ጉምሩክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
125,Nega Tsegaye Tessema,አቶ ነጋ ፀጋዬ ተሰማ,ሚ/ዴኤታ,ውጭ ጉዳይ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
126,Pitter Gatkot Giy,አቶ ፒተር ጋትኮት ጊይ,ሚ/ዴኤታ,መገናኛና ኢን.ቴክ.ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
127,Rahel Tadesse Asfaw,ወ/ሮ ራሄል ታደሰ አስፋው,ም/ዋና ኃላፊ,ምርጫ ቦርድ ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
128,Rashid Mehammed Abdelwahid ,አቶ ራሺድ መሀመድ አበደልዋሂድ,ዋና ዳይሬክተር,መንገድ ፈንድ ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
129,Remedan Ashenafi Hojelie,አቶ ረመዳን አሸናፊ ሆጀሌ,ሚ/ዴኤታ,ሠራተኛና ማህበራዊ ጉዳይ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
130,W/Ro Samiya Zekariya Gutu,ወ/ሮ ሳሚያ ዘካሪያ  ጉቱ,ዋና ዳይሬክተር,ማዕከላዊ ስታትስቲክስ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
131,Sibhat Nega Medhanie,አቶ ስብሃት ነጋ መድሀንየ,ዳይሬክተር,የኢትዮ. ዓለም አቀፍ የሠላምና የልማት ኢንስ.,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
132,Sebsbie Kebede Feleqe,አቶ ሰብስቤ ከበደ ፈለቀ,ዋና ሥራ አስኪያጅ,የኢትዮጵያ ኘሬስ ድርጅት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
133,Seniya Sani Reshid ,አቶ ሰኒያ ሳኒ ረሺድ,የሴቶችና ህፃናት እንባ ጠባቂ, ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
134,Serawit Sileshi Garedew,አቶ ሠራዊት ስለሺ ጋረደው,ም/ዋ/ዕንባ ጠባቂ,የሕዝብ ዕንባ ጠባቂ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
135,Shanko Delelegne Desta,አቶ ሻንቆ ደለለኝ ደስታ,ዳይሬክተር,ፌደራል ጉዳይ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
136,Shewalem Menje G/Kidan,አቶ ሸዋዓለም መንጄ ገ/ኪዳን,ም/ዋና/ዳይሬክተር,ብሔራዊ ሎተሪ አስተዳደር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
137,Shimelis Kemal,አቶ ሽመልስ ከማል,ሚ/ር ዴኤታ,የመንግስት ኮሙኒክሽንቸ ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
138,Sileshi Getahun Hailu,አቶ ስለሺ ጌታሁን ኃይሉ,ዳይሬክተር,ግብርናና ገጠር ልማት ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
139,Sileshi Lemma Bekele,አቶ ስለሺ ለማ በቀለ,››,ጨርቃ ጨርቅ ኢንዱስትሪ ልማት ኢንስቲትዩት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
140,Dr. Sintayehu W/Michael,ዶ/ር ስንታየሁ ወ/ሚካኤል,ዋና ዳይሬክተር,የመንግሥት ፋይናንስ ድርጅቶች ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
141,Sirak Hailu Kenea,አቶ ሲራክ ኃይሉ ቀነዓ,ዋና ዳይሬክተር,የመጠባበቂያ ምግብ ክምችት አስተ.,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
142,Sissay Gemechu Eido,አቶ ሲሳይ ገመቹ ኢዶ,ሚ/ ዴኤታ,ጠቅላይ ሚ/ር ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
143,Sissay Shikur G/Mariyam,አቶ ሲሳይ ሽኩር ገ/ማሪያም,ም/ዋና ዳይሬክተር,የኢትዮ ፌዴራል ፖሊስ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
144,Solomon Areda Waqotola,አቶ ሰለሞን አረዳ ዋቅቶላ,ም/ኘሬዚዳንት,የፌዴራል የመጀመሪያ ደረጃ ፍ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
145,Dr. Solomon Assefa Gizaw,ዶ/ር ሰሎሞን አሰፋ ግዛው,ዋና ዳይሬክተር,ግብርና ምርምር ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
146,Dr. Solomon Moges Tassie,ዶ/ር ሰለሞን ሞገስ ጣሴ,ም/ዳይሬክተር,ከፍተኛ ትምህርት ስትራተጂ ማዕከል,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
147,Solomon Shiferaw Bogale,አቶ ሰለሞን ሽፈራው ቦጋለ,ም/ዋ/ዳይሬክተር,የትምህርት ስትራቴጂ ማዕከል,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
148,Sultan Mehammed Aliya,አቶ ሱልጣን መሐመድ አልያ,ዋና ዳይሬክተር,ኢትዮ ካርታ ሥራ ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
149,Surafel Mihretab Abdi,አቶ ሱራፌል ምህረተአብ አብዲ,--,ጠቅላይ ሚ/ር ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
150,Tadelech Dalecho Danjo,አቶ ታደለች ዳለቾ ዳንጆ,ሚ/ዴኤታ,ባህልና ቱሪዝም ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
151,Tadesse Endaylalu Chebud,አቶ ታደሰ እንዳይላሉ ጨቡድ,ጊ/ዋና ዳይሬክተር,የሆቴልና ቱሪዝም ማሠልጠኛ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
152,Tadesse Haile Tessema,አቶ ታደሰ ኃይሌ ተሰማ,ሚ/ር ዴኤታ,ኢንዱስትሪ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
153,Tamiru Ayana Wirtu,አቶ ታምሩ አያና ዊርቱ,ዋና ዳይሬክተር,ብሔራዊ አደጋ መከ/ዝግጅነት ፈንድ ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
154,Tassew Gebrie Migis,አቶ ጣሰው ገብሬ ሚጊስ,ም/ዋና ዳይሬክተር,ገ/ጉምሩክ ባለስልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
155,Teferi Fikirie Gossaye,አቶ ተፈሪ ፍቅሬ ጐሣዬ,ዋና ዳይሬክተር,የመንግሥት ቤቶች ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
156,Tekaligne Mamo Assefa,አቶ ተካልኝ ማሞ አሰፋ,ሚ/ር ዴኤታ,ግብርና ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
157,Teklay Belay Gebray,አቶ ተክላይ በላይ ገብራይ,ዳይሬክተር,ፌደራል ፖሊስ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
158,Tekletsadiq Reba Ayanie,አቶ ተክለፃዲቅ ሬባ አያኔ,ሚ/ዴኤታ,ትራንስፖርት ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
159,Teklework Atinafu Ambula,አቶ ተክለወልድ አጥናፉ አምቡላ,ገዥ,የኢት.ብሔራዊ ባንክ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
160,Temesgen Tilahun Woyimo,አቶ ተመስገን ጥላሁን ወይሞ,አማካሪ ሚ/ር ዴኤታ,ጠቅላይ ሚ/ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
161,Tesfaye Birhanu Adelegne,አቶ ተስፋዬ ብርሐኑ አደለኝ,ጊ/ም/ዋ/ዳይሬክተር,ገንዘብና ኢኮኖሚ ልማት ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
162,Tesfaye Mengesha Abegaz,አቶ ተስፋዬ መንገሻ አበጋዝ,የጽ/ቤት ዋና ኃላፊ,የኢት.ምርጫ ቦርድ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
163,Tesfaye Teshome Fentabel,አቶ ተስፋዬ ተሾመ ፈንታበል,ዋና ዳይሬክተር,ከፍ/ት/አግ/ጥራት ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
164,Dr. Tewoldebirhan G/Egziabher,ዶ/ር ተወልደብርሃን ገ/እግዚአብሔር,ዋና ዳይሬክተር,አካባቢ ጥበቃ ባለስልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
165,Ambassador Tirunehzena Araje,አምባሳደር ጥሩነህ ዜና አራጀ,ዋና ኮሚሽነር,ሰብዓዊ መብት ኮሚሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
166,Tolossa Shagi Moti,አቶ ቶሎሳ ሻጊ ሞቲ,ሚ/ዴኤታ,ማዕድን ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
167,Tsegaye Abebe Abera,አቶ ፀጋዬ አበበ አበራ,ዋና ዳይሬክተር,የመንግሥት ግዥና ንብረት አስ.ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
168,Dr. Tsehaynesh Mesele Gidey,ዶ/ር ፀሐይነሽ መሰለ ጊደይ,ዋና ዳይሬክተር,የኢትዮ ጤናና ሥነምግብ ምርመር ኢንስቲ.,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
169,Tsehay T/Michael Temanu,አቶ ፀሐይ ተ/ሚካኤል ተማኑ,ዋና ዳይሬክተር,መንግሥት ልማት ድርጅቶች ባለአደራ ቦርድ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
170,Wondirad Mandefro Gebru,አቶ ወንድይራድ ማንደፍሮ ገብሩ,ሚ/ዴኤታ,የግብርና ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
171,Wondu Legesse Gizaw,አቶ ወንዱ ለገሠ ግዛው,ዋና ዳይሬክተር,የቆዳ ኢንዱስትሪ ልማት ኢንስቲትዩት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
172,Wosenyeleh Hunegnaw Tadege,አቶ ወሰንየለህ ሁነኛው ታደገ,ዋና ዳይሬክተር,ሲቪል አቬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
173,Wondimu Teklie Sigo,አቶ ወንድሙ ተክሌ ሲጐ,ሚ/ር ዴኤታ,ውሃና ኢነርጂ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
174,Wondwosen Kiflu W/Michael,አቶ ወንድወሰን ክፍሉ ወ/ሚካኤል,ሚ/ር ዴኤታ,ትምህርት ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
175,Wondwosen Fisha Kidanie,አቶ ወንድወሰን ፍሰሃ ኪዳኔ,ዋ/ዳይሬክተር,የኢትዮጵ ሥነ-ልክ ኢንስቲትዩት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
176,Workneh Gebeyehu Negewo,አቶ ወርቅነህ ገበየው ነገዎ,ዋና ዳይሬክተር,ፌዴራል ፖሊስ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
177,Wubshet Shiferaw Shigultu,አቶ ውብሸት ሽፈራው ሺጉልቱ,ኘሬዚደንት,ፌ/ከ/ፍ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
178,Yakob Mudesir Seid,አቶ ያቆብ ሙደሲር ሰይድ,ም/ዋ/ዳይሬክተር,ማዕከላዊ ስታትስቲክስ ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
179,Yakob Yala Yabo,አቶ ያዕቆብ ያላ ያቦ,ሚ/ር ዴኤታ,ንግድ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
180,Yaregal Aysheshum Birhane,አቶ ያረጋል አይሸሹም ብርሃኔ,ዋና ዳይሬክተር,የፈ/ህ/ሥ/ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
181,Yassin Mossa Ali,አቶ ያሲን ሞሣ አሊ,ም/ዋና ዳይሬክተር,የማዕከላይ ስታትስቲክስ ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
182,Yehulu Deneqew Alamneh,አቶ የሁሉ ደነቀው አላምነህ,››,የኢት.የም/የመ.የጤ.ክ.አቁ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
183,Yemane Yossef Tesfaye,አቶ የማነ ዮሴፍ ተስፋዬ,ምክትል ገዥ,የብሔራዊ ባንክ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
184,Yeserah Bishaw Jemberie,አቶ የሠራህ ቢሻው ጀምበሬ,ተ/ዋ/ዳይሬክተር,አዋሽ ተፋሰስ ባለሥልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
185,Yigezu Daba Gebisa,አቶ ይገዙ ዳባ ገቢሣ,ጊ/ዋና ዳይሬክተር,የመንግሥት ግዥና ንብረት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
186,Yirgu Edilu Teshome,ይርጉ እድሉ ተሾመ,አ/አ ከተማ አስተ ም/አፈጉባኤ,አዲስ አበባ ከተማ አስተዳደር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
187,Yirga Tadesse Mathewos ,አቶ ይርጋ ታደሰ ማቴዎስ,ኃላፊ,ሰነዶች ማረጋገጫ ምዝገባ ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
188,Yishak Abera Reda,አቶ ይስሀቅ አበራ ረዳ,ም/ዋና ዳይሬክተር,መድን ፈንድ ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
189,Yohannes Ayalew Biru,አቶ ዮሐንስ አያሌው ብሩ,ም/ገዥ,የኢት.ብሔራዊ ባንክ,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
190,Zeyid W/Gebriel Hagos,አቶ ዘይድ ወ/ገብርኤል ሐጐስ,ዋና ዳይሬክተር,የኢት. መንገዶች ባለሥልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
191,Zeray Asgidom Woreta,አቶ ዘርአይ አስገዶም ወረታ,ዋና ስ/አስኪያጅ,ኢ/ሬ/ቴሌቪዥን ድርጅት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
192,Zerihun Kebede Wudie,አቶ ዘሪሁን ከበደ ውዴ,ሚ/ር ዴኤታ,ሠራተኛና ማህበራዊ ሚ/ር,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
193,Pr. Zinabu G/Mariyam W/Senbet ,ኘ/ር ዝናቡ ገብረማርያም ወ/ሰንበት,ዋ/ዳይሬክተር,ከፍተኛ ትምህርት ስትራተጂ ማዕከል,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
194,Getahun Tadesse Mekonnen,አቶ ጌታሁን ታደሰ መኮንን,ዋ/ዳይሬክተር,የኢትዮጵያ ካይዘን ኢንስቲትዩት,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
195,Beker Shallie Dulie,አቶ በከር ሻሌ ዱሌ,ዋና ዳይሬክተር,የኢትዮጵያ ገቢዎችና ጉምሩክ ባለስልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
196,Abebaw Taddesse Asres,ሌ/ጄ አበባው ታደሰ አስረስ,ሌ/ኮኔል,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
197,Abera T/yohannes W/semaiat,ብ/ጄ አበራ ተ/ዮሀንስ ወ/ሰማያት,የእዝ አ/ፈ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
198,Abiy Ahmed Ali,አቢይ አህመድ አሊ,ቴ/መ/ዘርፍ/ሀላፊ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
199,Abrha Arefe Hadera,ብ/ጄ አብርሀ አረፈ ሀደራ,ሃላፊ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
200,Abrha W/mariam Genzebu,ሜ/ጀነራል አብርሀ ወ/ማርያም ገንዘቡ,እዝ አዛዥ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
201,Adem Mehamed Mahmud,ሜ/ጄ አደም መሀመድ ማህሙድ,ሜ/ጄነራል,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
202,Akele Asa Asfaw,ብ/ጄ አከለ አሳ አስፋው,የቢሮ ኃላፊ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
203,Alemu Ayele Tessema,አለሙ አየለ ተሰማ,ሀላፊ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
204,Bacha Debele Buta,ሌ/ጄ ባጫ ደበሌ ቡታ,ሀላፊ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
205,Bayu Wnedaferaw Haile,ብ/ጄ ባዩ ወንዳፈራው ሀይሌ,የ/ሠ/ማ/ማ/ኃላፊ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
206,Berhane Negash Beyene,ሜ/ጄ ብርሀነ ነጋሽ በየነ,ኮር አዛዝ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
207,Birhanu Abera Ashenafi ,ሜ/ጀ ብርሀኑ አበራ አሸናፊ,ሚኒስቴር ደኤታ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
208,Birhanu Jula Gelelcha,ሜ/ጄ ብርሀኑ ጁላ ገለልቻ,ሜ/ጀኔራል,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
209,Ephrem Bange Demeksa,ብ/ጄ ኤፍሬም ባንጌ ደመቅሳ,ብ/ጀኔራል,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
210,Fiseha Kidanu Fanta,ብ/ጄ ፍስሀ ኪዳኑ ፋንታ,ሻለቃ አዛዥ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
211,G/egziabher Mebrahtu,ሜ/ጄ ገ/እግዚአብሄር መብራህቱ,መምሪያ ኃላፊ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
212,G/michael Beyene Tedila,ገ/ሚካኤል በየነ ተድላ,ጥናትና ምርምር,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
213,Gebrat Ayele Bicha,ሜ/ጄ ገብራት አየለ ቢጫ,ሜ/ጄነራል,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
214,Gebre Adhana W/ezgi,ብ/ጀነራል ገብረ አድሀና ወ/እዝጊ,መ/ዋ/ም/መ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
215,Getachew Gudina Selbana,ጌታቸው  ጉዲና ሰልባና,መምሪያ ኃላፊ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
216,Getachew Shiferaw Feisa,ብ/ጄ ጌታቸው ሽፈራው ፈይሳ,ሀ/ኣዛዥ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
217,Gezai Abera Desta,ሜ/ጄ ገዛኢ አበራ ደስታ,ሎጅስቲክ ዋና መምሪያ ኃለፊ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
218,H/selassie Girmay G/michael,ብ/ጄ ኃ/ስላሴ ግርማይ ገ/ሚካኤል,ብ/ጀኔራል,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
219,Hintsa W/giorgis Yohnese,ብ/ጄ ህንፃ ወ/ጊርጊስ ዮሀንስ,እዝ ም/ኃላፊ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
220,Ibrahim Abdeljelil Mehamedzen,ኢብራሂም አበደልጀሊል መሀመድዜን,ሎጅስቲክ አዛዥ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
221,Kinfe Dagnaw G/selassie,ክንፈ ዳኘው ገ/ስላሴ,ዋና ዳይሬክተር,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
222,Mammo Girmay Wendatir,ማሞ ግርማይ ወንዳአሸር,የጤና ም/ኃላፊ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
223,Measho Beyene Desta,ብ/ጀነራል መአሾ በየነ ደስታ,ጽ/ቤት ኃላፊ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
224,Mehamedesha Zeinu Tikue,ብ/ጄ መሀመድኢሻ ዘይኑ ትኩእ,ንግ/ጠቅላይ አዛዥ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
225,Mehari Zewdu G/mariam,ብ/ጄ መሀሪ ዘውዱ ገ/ማርያም,የሰው ሀይል እዝ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
226,Mesele Belete Alemu,መሰለ በለጠ አለሙ,ኃላፊ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
227,Migbe Haile W/aregay,ብ/ጄ ምግበ ሀይለ ወ/አረጋይ,ብ/ጀኔራል,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
228,Misganaw Alemu Teferi,ብ/ጄ ምስጋናው አለሙ ተፈሪ,ወ/አታሼ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
229,Molla H/mariam Alemayehu,ሜ/ጄ ሞላ ኃ/ማርያም አለማየሁ,መሜ/ጄነራል,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
230,Mulugeta Berhe Yilma,ብ/ጄ ሙሉጌታ በርሄ ይልማ,ብ/ጀኔራል,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
231,Negash Dagnew Ayele,ብ/ጄ ነጋሽ ዳኘው አየለ ,አዛዥ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
232,Negussie Lemma Dubero,ብ/ጄ ንጉሴ ለማ ዱበሮ,ብ/ጀኔራል,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
233,Samora Yenus MehamedFereja,ጀኔራል ሳሞራ(መሀመድ) የኑስ መሀመድ ፈረጃ,ጠቅላይ ኢታማጆር  ሹም,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
234,Seare Mekonnen Yimer,ሌ/ጄ ሰዓረ መኮንን ይመር,ሌ/ጄነራል,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
235,Seyoum Hagos Tadeg,ሥዩም ሀጎስ ታደግ,አዛዥ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
236,T/Birhan W/aregay G/selassie,ተ/ብርሀን ወ/አረጋይ ገ/ስላሴ,ተ/ዋ/ዳይሬክተር,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
237,Taddesse Werede Tesfay,ታደሰ ወረደ ተስፋይ,ዋ/መምሪያ ኃላፊ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
238,Teklay Ashebir Gebray,ተክላይ አሸብር ገብራይ,ም/አዘዥ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
239,Temesgen Abebe Kassa,ብ/ጄ ተመስገን አበበ ካሳ,ሀላፊ,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
